seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12281,2024,"2024 Concacaf Champions Cup, Round One",round-one,5699,CONCACAF.CHAMPIONS,Concacaf Champions Cup,Concacaf Champions Cup
12278,2024,"2024 Concacaf Champions Cup, Semifinals",semifinals,5699,CONCACAF.CHAMPIONS,Concacaf Champions Cup,Concacaf Champions Cup
12279,2024,"2024 Concacaf Champions Cup, Quarterfinals",quarterfinals,5699,CONCACAF.CHAMPIONS,Concacaf Champions Cup,Concacaf Champions Cup
12283,2024,"2024 Concacaf Champions Cup, Final",final,5699,CONCACAF.CHAMPIONS,Concacaf Champions Cup,Concacaf Champions Cup
12280,2024,"2024 Concacaf Champions Cup, Round of 16",round-of-16,5699,CONCACAF.CHAMPIONS,Concacaf Champions Cup,Concacaf Champions Cup
12500,2024,"2024 Leagues Cup, Quarterfinals",quarterfinals,19425,CONCACAF.LEAGUES.CUP,Leagues Cup,Leagues Cup
12501,2024,"2024 Leagues Cup, Round of 16",round-of-16,19425,CONCACAF.LEAGUES.CUP,Leagues Cup,Leagues Cup
12502,2024,"2024 Leagues Cup, Round of 32",round-of-32,19425,CONCACAF.LEAGUES.CUP,Leagues Cup,Leagues Cup
12503,2024,"2024 Leagues Cup, Group Stage",group-stage,19425,CONCACAF.LEAGUES.CUP,Leagues Cup,Leagues Cup
12498,2024,"2024 Leagues Cup, 3rd-Place",3rd-place,19425,CONCACAF.LEAGUES.CUP,Leagues Cup,Leagues Cup
